,raise,99.76685476685476
raise,clout,11.373626373626374
clout,raise,11.373626373626374
clout raise,nymph,6.763587763587764
nymph,raise,18.577071577071578
clout nymph,raise,6.763587763587764
nymph raise,clout,6.763587763587764
clout nymph raise,debug,6.075141075141075
debug,sitar,19.881496881496883
sitar,clone,11.79002079002079
clone,satyr,11.324324324324325
satyr,clone,11.324324324324325
clout debug,sarin,7.019008019008019
sarin,motel,11.886248886248886
motel,sarin,11.886248886248886
nymph debug,trail,7.2732402732402734
trail,douse,11.828630828630828
douse,trail,11.828630828630828
raise debug,cloth,7.08019008019008
cloth,raise,13.317196317196316
clout sarin,debye,6.760617760617761
debye,trail,21.62964062964063
clout debye,sarin,6.760617760617761
debye sarin,cloth,6.697059697059697
debye cloth,sarin,6.697059697059697
cloth sarin,budge,6.645975645975646
budge,trail,19.273834273834275
cloth budge,sarin,6.645975645975646
budge sarin,cloth,6.645975645975646
debug sarin,cloth,6.689337689337689
debug cloth,sarin,6.689337689337689
raise cloth,dumpy,6.746361746361746
dumpy,raise,19.464508464508466
cloth dumpy,siren,6.742797742797743
siren,loath,12.638253638253639
loath,siren,12.638253638253639
cloth siren,gaudy,6.678645678645679
gaudy,toile,16.56756756756757
toile,scary,11.459162459162458
scary,toile,11.459162459162458
cloth gaudy,siren,6.678645678645679
gaudy siren,cloth,6.678645678645679
dumpy siren,bloat,6.669141669141669
bloat,siren,12.685773685773686
dumpy bloat,siren,6.669141669141669
bloat siren,chump,6.612711612711613
chump,raise,20.85090585090585
bloat chump,siren,6.612711612711613
chump siren,bloat,6.612711612711613
raise dumpy,cloth,6.746361746361746
debug trail,synch,6.762993762993763
synch,alter,14.944163944163945
alter,noisy,12.014553014553014
noisy,carle,11.715176715176716
carle,stony,11.443718443718444
stony,carle,11.443718443718444
debug synch,trail,6.762993762993763
synch trail,moped,6.5675675675675675
moped,slant,15.283338283338283
slant,moire,11.523908523908524
moire,sault,11.354024354024354
sault,moire,11.354024354024354
synch moped,trail,6.5675675675675675
moped trail,synch,6.5675675675675675
nymph trail,douse,6.768339768339768
nymph douse,trail,6.768339768339768
