,roate,60.13209181463837
roate,linds,5.103074924209615
linds,roate,5.103074924209615
linds roate,chump,1.6409701169337376
chump,raile,9.413165872672153
raile,stond,4.770463404071027
stond,carle,4.663923776526635
carle,doits,4.650931139021221
doits,carle,4.650931139021221
linds chump,roate,1.6409701169337376
chump roate,linds,1.6409701169337376
chump raile,stond,1.570809874404504
chump stond,raile,1.570809874404504
carle doits,nymph,1.5898657427457774
nymph,raile,9.61498484192291
doits nymph,carle,1.5898657427457774
carle nymph,doits,1.5898657427457774
nymph raile,douts,1.7423126894759635
douts,carle,5.427890861844954
nymph douts,carle,1.736249458640104
douts carle,pinky,1.6816803811173668
pinky,roate,8.247293200519705
douts pinky,carle,1.6816803811173668
carle pinky,douts,1.6816803811173668
pinky roate,clubs,1.8280640970116935
clubs,roate,6.7176266782156775
pinky clubs,tared,1.7466435686444348
tared,coils,4.9177132957990475
coils,trade,4.864010394110005
trade,coils,4.864010394110005
pinky tared,clogs,1.6470333477695973
clogs,irate,5.632308358596795
irate,clons,4.807708964919879
clons,irate,4.807708964919879
pinky clogs,tared,1.6470333477695973
clubs tared,gipon,1.627977479428324
gipon,slate,6.598094413165873
slate,corni,4.658726721524469
corni,slate,4.658726721524469
clubs gipon,trade,1.6193157210913816
tared gipon,culms,1.6219142485924642
culms,roate,6.423126894759636
gipon culms,trade,1.5941966219142485
tared culms,gipon,1.6219142485924642
clubs trade,gipon,1.6193157210913816
gipon trade,culms,1.5941966219142485
culms trade,gipon,1.5941966219142485
clubs roate,dingy,1.7700303161541793
dingy,slate,7.615851017756604
clubs dingy,trape,1.6842789086184495
trape,noils,4.882200086617583
noils,carte,4.496751840623647
carte,noils,4.496751840623647
dingy trape,blocs,1.5985275010827198
blocs,irate,5.982243395409268
dingy blocs,trape,1.5985275010827198
roate dingy,sculp,1.64963187527068
sculp,roate,6.128627111303595
dingy sculp,roate,1.64963187527068
clubs trape,doing,1.6167171935902989
doing,slate,6.126028583802512
clubs doing,peart,1.6149848419229103
peart,noils,5.025985275010827
clubs peart,doing,1.6149848419229103
doing peart,culms,1.585534863577306
doing culms,peart,1.585534863577306
culms peart,doing,1.585534863577306
trape doing,culms,1.585534863577306
trape culms,bidon,1.577739281074058
bidon,slate,6.333910783889129
culms bidon,trape,1.577739281074058
bidon trape,culms,1.577739281074058
dingy slate,porch,1.5638804677349503
porch,leant,6.72022520571676
leant,coirs,4.8406236466002595
coirs,leant,4.8406236466002595
dingy porch,salet,1.5552187093980079
salet,orcin,4.788653096578606
orcin,slate,4.6699870073624945
dingy salet,porch,1.5552187093980079
porch leant,guids,1.599393676916414
guids,taler,7.164573408401906
taler,coins,4.829363360762235
coins,taler,4.829363360762235
porch guids,leant,1.599393676916414
guids leant,porch,1.599393676916414
guids taler,chomp,1.686011260285838
chomp,raile,8.02555218709398
guids chomp,ratel,1.6851450844521438
ratel,cions,4.865742745777393
cions,taler,4.837158943265483
taler chomp,dings,1.552620181896925
dings,roate,6.639670853183196
chomp dings,ratel,1.5439584235599826
dings ratel,chomp,1.5439584235599826
guids ratel,chomp,1.6851450844521438
chomp ratel,dings,1.5439584235599826
taler dings,chomp,1.552620181896925
chomp raile,dunts,1.5829363360762234
dunts,carle,5.634040710264184
chomp dunts,raile,1.5829363360762234
dings roate,clump,1.5786054569077523
clump,irate,7.433954092680814
dings clump,roate,1.5786054569077523
clump irate,sownd,1.6236466002598529
sownd,carle,6.541792983975747
clump sownd,targe,1.56994369857081
targe,coils,5.0822867042009525
clump targe,dinos,1.5638804677349503
dinos,carte,5.434820268514509
clump dinos,targe,1.5638804677349503
sownd targe,pilch,1.5500216543958423
pilch,roate,6.2438284971849285
sownd pilch,targe,1.5500216543958423
pilch targe,bonds,1.5136422693806844
bonds,taler,6.546123863144218
pilch bonds,ramet,1.5075790385448247
ramet,coils,5.350801212646167
targe bonds,pilch,1.5136422693806844
