,roate,60.13209181463837
roate,linds,5.103074924209615
linds,roate,5.103074924209615
linds roate,chump,1.6409701169337376
chump,raile,9.413165872672153
raile,stond,4.770463404071027
stond,carle,4.663923776526635
carle,doits,4.650931139021221
doits,carle,4.650931139021221
linds chump,roate,1.6409701169337376
chump roate,linds,1.6409701169337376
carle doits,nymph,1.5898657427457774
nymph,raile,9.61498484192291
carle nymph,doits,1.5898657427457774
doits nymph,carle,1.5898657427457774
stond carle,gimpy,1.5153746210480727
gimpy,roate,9.310957124296232
carle gimpy,stond,1.5153746210480727
gimpy stond,carle,1.5153746210480727
raile stond,chump,1.570809874404504
raile chump,stond,1.570809874404504
chump stond,raile,1.570809874404504
gimpy roate,clubs,1.8349935036812473
clubs,roate,6.7176266782156775
gimpy clubs,tared,1.8220008661758338
tared,coils,4.9177132957990475
coils,trade,4.864010394110005
trade,coils,4.864010394110005
clubs tared,gipon,1.627977479428324
gipon,slate,6.598094413165873
slate,corni,4.658726721524469
corni,slate,4.658726721524469
clubs gipon,trade,1.6193157210913816
clubs trade,gipon,1.6193157210913816
gipon trade,culms,1.5941966219142485
culms,roate,6.423126894759636
gipon culms,trade,1.5941966219142485
culms trade,gipon,1.5941966219142485
tared gipon,culms,1.6219142485924642
tared culms,gipon,1.6219142485924642
gimpy tared,clons,1.5803378085751407
clons,irate,4.807708964919879
irate,clons,4.807708964919879
gimpy clons,trade,1.570809874404504
clons trade,gimpy,1.570809874404504
gimpy trade,clons,1.570809874404504
tared clons,guimp,1.5638804677349503
guimp,taler,9.090948462537895
taler,coins,4.829363360762235
coins,taler,4.829363360762235
clons guimp,tared,1.5638804677349503
guimp tared,clons,1.5638804677349503
roate clubs,dingy,1.7700303161541793
dingy,slate,7.615851017756604
clubs dingy,trape,1.6842789086184495
trape,noils,4.882200086617583
noils,carte,4.496751840623647
carte,noils,4.496751840623647
clubs trape,doing,1.6167171935902989
doing,slate,6.126028583802512
clubs doing,peart,1.6149848419229103
peart,noils,5.025985275010827
clubs peart,doing,1.6149848419229103
doing peart,culms,1.585534863577306
doing culms,peart,1.585534863577306
culms peart,doing,1.585534863577306
trape doing,culms,1.585534863577306
trape culms,bidon,1.577739281074058
bidon,slate,6.333910783889129
culms bidon,trape,1.577739281074058
bidon trape,culms,1.577739281074058
dingy trape,blocs,1.5985275010827198
blocs,irate,5.982243395409268
dingy blocs,trape,1.5985275010827198
blocs trape,dingy,1.5985275010827198
roate dingy,sculp,1.64963187527068
sculp,roate,6.128627111303595
dingy sculp,roate,1.64963187527068
roate sculp,dingy,1.64963187527068
carte noils,dumpy,1.6184495452576872
dumpy,roate,10.218709398007796
carte dumpy,sling,1.6097877869207449
sling,roate,5.152446946730186
carte sling,dumpy,1.6097877869207449
dumpy sling,carte,1.6097877869207449
noils dumpy,carte,1.6184495452576872
corni slate,dumpy,1.653962754439151
corni dumpy,slate,1.653962754439151
dumpy slate,bronc,1.5915980944131658
bronc,salet,5.509311390212213
salet,orcin,4.788653096578606
orcin,slate,4.6699870073624945
dumpy bronc,slate,1.5915980944131658
bronc slate,dumpy,1.5915980944131658
orcin slate,dumpy,1.6652230402771762
orcin dumpy,salet,1.6652230402771762
dumpy salet,bronc,1.5950627977479428
salet bronc,dumpy,1.5950627977479428
orcin salet,dumpy,1.6652230402771762
clons irate,dumpy,1.6799480294499785
clons dumpy,targe,1.6141186660892162
targe,coils,5.0822867042009525
clons targe,dumpy,1.6141186660892162
dumpy targe,clons,1.6141186660892162
irate dumpy,clons,1.6799480294499785
coins taler,bumph,1.6816803811173668
bumph,raile,10.679514941533132
coins bumph,taler,1.6816803811173668
bumph taler,coins,1.6816803811173668
coils trade,nymph,1.6037245560848852
coils nymph,trade,1.6037245560848852
nymph trade,coils,1.6037245560848852
trape noils,duchy,1.6851450844521438
duchy,raise,8.655262018189692
raise,clout,5.111736682546557
clout,raise,5.111736682546557
