Updated at: 2022-06-28 22:13:07.172562
words,count,score,index
chump dying fable worst,4,1.0588999566912085,77068
bugle candy morph swift,4,1.0597661325249026,35554
chump dingy fable worst,4,1.061498484192291,77062
bland comfy purse wight,4,1.061498484192291,108651
chant dowel rugby skimp,4,1.0623646600259853,39637
bland comfy super wight,4,1.0623646600259853,154550
bawdy force night slump,4,1.0632308358596796,20262
candy fight plumb worse,4,1.0632308358596796,24819
bugle crimp downy shaft,4,1.0632308358596796,56200
bugle cramp downy shift,4,1.0632308358596796,113245
cable dumpy frown sight,4,1.0640970116933737,97493
crown dumpy fable sight,4,1.0640970116933737,130529
force plumb sandy wight,4,1.064963187527068,94961
carve downy fight slump,4,1.064963187527068,115951
badly grope munch swift,4,1.0658293633607625,51045
brawl coven dumpy sight,4,1.0658293633607625,63374
bunch grope madly swift,4,1.0658293633607625,110883
bland comfy right sweep,4,1.067561715028151,13604
clasp downy giver thumb,4,1.067561715028151,17218
burst champ dowel vying,4,1.067561715028151,51231
blast chump downy giver,4,1.067561715028151,53679
cower dingy plumb shaft,4,1.067561715028151,115177
bowel draft gipsy munch,4,1.067561715028151,129164
barge could nymph swift,4,1.067561715028151,152232
champ olden rugby swift,4,1.068427890861845,20857
badge finch lumpy worst,4,1.068427890861845,63136
bowel crank dumpy sight,4,1.068427890861845,101442
bawdy crone fight slump,4,1.068427890861845,108464
clank dumpy sober wight,4,1.068427890861845,113902
clamp doubt shrew vying,4,1.068427890861845,120551
crump fable synod wight,4,1.0692940666955393,69405
bulge candy morph swift,4,1.0692940666955393,78732
blank cower dumpy sight,4,1.0692940666955393,85742
bleed comfy right spawn,4,1.0692940666955393,86734
climb downy purge shaft,4,1.0692940666955393,100366
bagel dumpy finch worst,4,1.0692940666955393,116089
bawdy force slump thing,4,1.0692940666955393,126107
barge cloud nymph swift,4,1.0692940666955393,152228
comfy plied shrub twang,4,1.0701602425292334,32069
badge filmy punch worst,4,1.0701602425292334,42893
balmy fudge pinch worst,4,1.0701602425292334,42919
child rugby swamp token,4,1.0701602425292334,46416
march noble pudgy swift,4,1.0701602425292334,93407
budge comfy print shawl,4,1.0701602425292334,121392
borne ditch gawky slump,4,1.0701602425292334,133508
burst clamp given howdy,4,1.0701602425292334,155326
bland copse murky wight,4,1.0710264183629277,10367
crude fight nobly swamp,4,1.0710264183629277,23738
bawdy copse fling thrum,4,1.0710264183629277,84133
bawdy flume notch sprig,4,1.0710264183629277,90098
downy fight maple scrub,4,1.0710264183629277,102643
bawdy chump forte sling,4,1.0710264183629277,147239
black downy might purse,4,1.071892594196622,19237
bawdy clump goner shift,4,1.071892594196622,66754
brand comfy pulse wight,4,1.071892594196622,100918
cyber fight psalm wound,4,1.071892594196622,106798
cyber found psalm wight,4,1.071892594196622,106806
comfy debug print shawl,4,1.071892594196622,121397
batch frown pudgy smile,4,1.071892594196622,131591
dumpy fable swing torch,4,1.071892594196622,147861
bugle champ drift snowy,4,1.071892594196622,155244
blimp fancy hedge worst,4,1.072758770030316,16172
derby flock might spawn,4,1.072758770030316,26734
blimp corny shaft wedge,4,1.072758770030316,31835
comfy diver plush twang,4,1.072758770030316,43998
crowd fable might spunk,4,1.072758770030316,50855
bawdy flume porch sting,4,1.072758770030316,90305
chafe dingy plumb worst,4,1.072758770030316,95531
bulge cramp downy shift,4,1.072758770030316,113235
fudge nobly prism watch,4,1.072758770030316,129355
boney drift gulch swamp,4,1.072758770030316,139106
bulge crimp downy shaft,4,1.072758770030316,144977
champ dowel rugby stink,4,1.072758770030316,157567
farce plumb synod wight,4,1.0736249458640104,14687
butch frown midge palsy,4,1.0736249458640104,25987
fling rowdy space thumb,4,1.0736249458640104,40886
curvy fight model spawn,4,1.0736249458640104,51867
candy first gumbo whelp,4,1.0736249458640104,81400
bawdy clump frost hinge,4,1.0736249458640104,101137
blimp farce howdy stung,4,1.0736249458640104,103108
coven drawl gipsy thumb,4,1.0736249458640104,130328
batch drown flume gipsy,4,1.0736249458640104,131554
craft howdy plumb singe,4,1.0736249458640104,135917
dutch flown maybe sprig,4,1.0736249458640104,137246
crown dumpy fight salve,4,1.0736249458640104,140300
bylaw crimp ghost unfed,4,1.0736249458640104,140874
grand spicy thumb vowel,4,1.0744911216977049,13663
black downy might super,4,1.0744911216977049,19225
crump downy fight salve,4,1.0744911216977049,21608
bawdy clove might spurn,4,1.0744911216977049,23160
bawdy copse flunk right,4,1.0744911216977049,26996
blown curvy might spade,4,1.0744911216977049,58983
brown fudge patch slimy,4,1.0744911216977049,66971
bawdy clump fight snore,4,1.0744911216977049,70975
ditch flyer gumbo spawn,4,1.0744911216977049,75093
bawdy fight plume scorn,4,1.0744911216977049,76432
crumb given howdy splat,4,1.0744911216977049,114839
cover dingy plumb shaft,4,1.0744911216977049,115172
bawdy crump glint shove,4,1.0744911216977049,118516
bawdy crimp glove shunt,4,1.0744911216977049,121500
batch frown pudgy slime,4,1.0744911216977049,131600
blend comfy parse wight,4,1.0744911216977049,136448
budge clash front wimpy,4,1.0744911216977049,138782
bleed corny fight swamp,4,1.0744911216977049,145589
doubt nymph slick wager,4,1.075357297531399,38590
balmy nudge porch swift,4,1.075357297531399,44524
butch dimly forge spawn,4,1.075357297531399,55601
botch flunk ridge swamp,4,1.075357297531399,79400
brawn close dumpy fight,4,1.075357297531399,80682
bugle comfy spawn third,4,1.075357297531399,91480
covey drawn plumb sight,4,1.075357297531399,91820
batch dimly prove swung,4,1.075357297531399,106530
clank dumpy fight sober,4,1.075357297531399,113899
bunch graft model wispy,4,1.075357297531399,116223
blimp candy fight worse,4,1.076223473365093,24813
blown chief pudgy smart,4,1.076223473365093,35415
balmy fudge sport winch,4,1.076223473365093,35959
